This is a list of accession numbers for annual reprots on Edgar
Name: 3M Company ; Ticker: MMM ; CIK: 66740
YEAR 2012 ; ACN 0001144204-13-048507
YEAR 2011 ; ACN 0001144204-12-048593
YEAR 2010 ; ACN 0001144204-11-050806
Name: Aeropostale, Inc. ; Ticker: ARO ; CIK: 1168213
YEAR 2013 ; ACN 0001168213-14-000027
YEAR 2012 ; ACN 0001168213-13-000054
YEAR 2011 ; ACN 0001168213-12-000015
YEAR 2010 ; ACN 0001168213-11-000019
YEAR 2009 ; ACN 0001168213-10-000023
YEAR 2008 ; ACN 0001168213-09-000012
YEAR 2007 ; ACN 0000950123-08-003701
YEAR 2006 ; ACN 0000950123-07-004850
YEAR 2005 ; ACN 0000950123-06-004270
YEAR 2004 ; ACN 0000950123-05-004383
YEAR 2003 ; ACN 0000950123-04-004611
YEAR 2002 ; ACN 0000950123-03-004907
Name: The AES Corporation ; Ticker: AES ; CIK: 874761
YEAR 2013 ; ACN 0000874761-14-000011
YEAR 2012 ; ACN 0001193125-13-077580
YEAR 2011 ; ACN 0001193125-12-078654
YEAR 2010 ; ACN 0001193125-11-047720
YEAR 2009 ; ACN 0001193125-10-041006
YEAR 2008 ; ACN 0001047469-09-001899
YEAR 2007 ; ACN 0001047469-08-002833
YEAR 2006 ; ACN 0001104659-07-042479
YEAR 2005 ; ACN 0001104659-06-021893
YEAR 2004 ; ACN 0001104659-05-013802
YEAR 2003 ; ACN 0001047469-04-007896
YEAR 2002 ; ACN 0001047469-03-010240
YEAR 2001 ; ACN 0000912057-02-011424
YEAR 2000 ; ACN 0000912057-01-008514
YEAR 1999 ; ACN 0000912057-00-014628
YEAR 1998 ; ACN 0001005150-99-000212
YEAR 1997 ; ACN 0001005150-98-000277
YEAR 1996 ; ACN 0001005150-97-000210
Name: Aetna, Inc. ; Ticker: AET ; CIK: 1122304
YEAR 2013 ; ACN 0001122304-14-000037
YEAR 2012 ; ACN 0001122304-13-000037
YEAR 2011 ; ACN 0001122304-12-000045
YEAR 2010 ; ACN 0001122304-11-000032
YEAR 2009 ; ACN 0001122304-10-000024
YEAR 2008 ; ACN 0001122304-09-000036
YEAR 2007 ; ACN 0001122304-08-000034
YEAR 2006 ; ACN 0000950123-07-002780
YEAR 2005 ; ACN 0000950123-06-002414
YEAR 2004 ; ACN 0000950123-05-002487
YEAR 2003 ; ACN 0000950123-04-002526
YEAR 2002 ; ACN 0000950123-03-002268
Name: Affiliated Managers Group ; Ticker: AMG ; CIK: 1004434
YEAR 2013 ; ACN 0001004434-14-000006
YEAR 2012 ; ACN 0001047469-13-001515
YEAR 2011 ; ACN 0001047469-12-001372
YEAR 2010 ; ACN 0001047469-11-001624
YEAR 2009 ; ACN 0001047469-10-001655
YEAR 2008 ; ACN 0001047469-09-002123
YEAR 2007 ; ACN 0001047469-08-002079
YEAR 2006 ; ACN 0001104659-07-015471
YEAR 2005 ; ACN 0001047469-06-003533
YEAR 2004 ; ACN 0001047469-05-006812
YEAR 2003 ; ACN 0001047469-04-008009
YEAR 2002 ; ACN 0001047469-03-011288
YEAR 2001 ; ACN 0000912057-02-012931
YEAR 2000 ; ACN 0000912057-01-506196
YEAR 1999 ; ACN 0000912057-00-015163
YEAR 1998 ; ACN 0001047469-99-012958
Name: AFLAC Incorporated ; Ticker: AFL ; CIK: 4977
YEAR 2013 ; ACN 0000004977-14-000052
YEAR 2012 ; ACN 0000004977-13-000030
YEAR 2011 ; ACN 0001193125-12-081967
YEAR 2010 ; ACN 0001193125-11-047639
YEAR 2009 ; ACN 0001193125-10-043173
YEAR 2008 ; ACN 0000950144-09-001463
YEAR 2007 ; ACN 0000950144-08-001495
YEAR 2006 ; ACN 0001104659-07-015014
YEAR 2005 ; ACN 0000004977-06-000036
YEAR 2004 ; ACN 0000004977-05-000049
YEAR 2003 ; ACN 0000004977-04-000030
YEAR 2002 ; ACN 0000004977-03-000098
YEAR 2000 ; ACN 0000004977-01-500045
YEAR 1999 ; ACN 0000004977-00-000011
YEAR 1998 ; ACN 0000004977-99-000010
YEAR 1997 ; ACN 0000004977-98-000006
YEAR 1996 ; ACN 0000004977-97-000009
YEAR 1995 ; ACN 0000004977-96-000006
YEAR 1993 ; ACN 0000004977-94-000006
Name: Agco Corporation ; Ticker: AGCO ; CIK: 880266
YEAR 2013 ; ACN 0000880266-14-000004
YEAR 2012 ; ACN 0000880266-13-000003
YEAR 2011 ; ACN 0000880266-12-000004
YEAR 2010 ; ACN 0000950123-11-018407
YEAR 2009 ; ACN 0000950123-10-017928
YEAR 2008 ; ACN 0000950144-09-001706
YEAR 2007 ; ACN 0000950144-08-001513
YEAR 2006 ; ACN 0000950144-07-001772
YEAR 2005 ; ACN 0000950144-06-002147
YEAR 2004 ; ACN 0000950144-05-002600
YEAR 2003 ; ACN 0000950144-04-002500
YEAR 2002 ; ACN 0000950144-03-003218
YEAR 1999 ; ACN 0000950144-00-003817
YEAR 1998 ; ACN 0000950144-99-003652
YEAR 1997 ; ACN 0000950144-98-003728
YEAR 1996 ; ACN 0000950144-97-003175
Name: Agilent Technologies Inc. ; Ticker: A ; CIK: 1090872
YEAR 2012 ; ACN 0001090872-13-000029
YEAR 2011 ; ACN 0001090872-12-000018
YEAR 2010 ; ACN 0001047469-11-010124
YEAR 2009 ; ACN 0001047469-10-010499
YEAR 2008 ; ACN 0001047469-09-010861
YEAR 2007 ; ACN 0001047469-08-013312
YEAR 2006 ; ACN 0001047469-07-010272
YEAR 2005 ; ACN 0001047469-06-015256
YEAR 2005 ; ACN 0001047469-06-000516
YEAR 2003 ; ACN 0001193125-04-216917
YEAR 2002 ; ACN 0001193125-03-098260
YEAR 2001 ; ACN 0000891618-02-005622
YEAR 2001 ; ACN 0000891618-02-000185
YEAR 2000 ; ACN 0001095811-01-000226
Name: Agnico-Eagle Mines Limited ; Ticker: AEM ; CIK: 2809
Name: Agree Realty Corporation ; Ticker: ADC ; CIK: 917251
YEAR 2013 ; ACN 0001144204-14-014127
YEAR 2012 ; ACN 0001144204-13-014094
YEAR 2011 ; ACN 0001144204-12-014138
YEAR 2010 ; ACN 0001144204-11-014831
YEAR 2009 ; ACN 0001144204-10-013162
YEAR 2008 ; ACN 0001144204-09-013783
YEAR 2007 ; ACN 0000950124-08-001198
YEAR 2006 ; ACN 0000950124-07-001485
YEAR 2005 ; ACN 0000950124-06-001281
YEAR 2004 ; ACN 0000950124-05-001513
YEAR 2003 ; ACN 0000950124-04-000923
YEAR 2002 ; ACN 0000950124-03-000809
YEAR 1999 ; ACN 0000889697-00-000048
YEAR 1998 ; ACN 0000889697-99-000043
YEAR 1997 ; ACN 0000889697-98-000126
YEAR 1996 ; ACN 0000950009-97-000182
Name: Agrium Inc. ; Ticker: AGU ; CIK: 943003
Name: Air Products and Chemicals, Inc. ; Ticker: APD ; CIK: 2969
YEAR 2012 ; ACN 0001193125-13-453925
YEAR 2011 ; ACN 0001193125-12-476878
YEAR 2010 ; ACN 0001193125-11-319887
YEAR 2009 ; ACN 0001193125-10-266784
YEAR 2008 ; ACN 0000950123-09-066095
YEAR 2007 ; ACN 0000950123-08-016491
YEAR 2006 ; ACN 0000950123-07-016020
YEAR 2005 ; ACN 0000950123-06-015112
YEAR 2004 ; ACN 0000950123-05-013994
YEAR 2003 ; ACN 0000950123-04-014695
YEAR 2002 ; ACN 0000950123-03-013730
YEAR 2001 ; ACN 0000002969-02-000029
YEAR 2000 ; ACN 0000002969-01-500028
Name: Aircastle Limited ; Ticker: AYR ; CIK: 1362988
YEAR 2013 ; ACN 0001362988-14-000003
YEAR 2012 ; ACN 0001362988-13-000004
YEAR 2011 ; ACN 0001193125-12-088439
YEAR 2010 ; ACN 0000950123-11-024192
YEAR 2009 ; ACN 0000950123-10-021306
YEAR 2008 ; ACN 0000950123-09-003719
YEAR 2007 ; ACN 0000950136-08-001004
YEAR 2006 ; ACN 0000950136-07-001821
Name: Airgas, Inc. ; Ticker: ARG ; CIK: 804212
YEAR 2013 ; ACN 0000804212-14-000014
YEAR 2012 ; ACN 0000804212-13-000015
YEAR 2011 ; ACN 0000804212-12-000016
YEAR 2010 ; ACN 0001193125-11-151211
YEAR 2009 ; ACN 0001193125-10-130586
YEAR 2008 ; ACN 0000950123-09-010143
YEAR 2007 ; ACN 0000893220-08-001693
YEAR 2006 ; ACN 0000893220-07-002057
YEAR 2005 ; ACN 0000893220-06-001397
YEAR 2004 ; ACN 0000893220-05-001394
YEAR 2003 ; ACN 0000893220-04-001186
YEAR 2002 ; ACN 0000893220-03-001123
YEAR 2001 ; ACN 0000912057-02-025282
YEAR 2000 ; ACN 0000804212-01-500017
YEAR 1998 ; ACN 0000804212-99-000011
YEAR 1997 ; ACN 0000804212-98-000018
YEAR 1996 ; ACN 0000804212-97-000024
YEAR 1995 ; ACN 0000804212-96-000007
YEAR 1994 ; ACN 0000804212-95-000006
Name: AK Steel Holding Corp ; Ticker: AKS ; CIK: 918160
YEAR 2013 ; ACN 0000918160-14-000005
YEAR 2012 ; ACN 0000918160-13-000024
YEAR 2011 ; ACN 0000918160-12-000013
